id;name;university;faculty;exam;match_key_x;matched_key;match_score;match_key_y;study_field
1.2.246.562.20.00000000000000056113;Automaatio ja robotiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A;Automaatio ja robotiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Automaatio ja robotiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.72384937238493;Automaatio ja robotiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056114;Bioinformaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A;Bioinformaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Bioinformaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.72384937238493;Bioinformaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056118;Elektroniikka ja sähköfysiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A;Elektroniikka ja sähköfysiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Elektroniikka ja sähköfysiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;94.02390438247012;Elektroniikka ja sähköfysiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056116;Informaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A;Informaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Informaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.56223175965665;Informaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056119;Sähköenergiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A;Sähköenergiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Sähköenergiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.56223175965665;Sähköenergiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056420;Fysikaalisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Fysikaalisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;Fysikaalisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;100.0;Fysikaalisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;fysiikka
1.2.246.562.20.00000000000000056422;Kemian kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Kemian kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;Kemian kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;100.0;Kemian kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;kemia
1.2.246.562.20.00000000000000056423;Matemaattisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Matemaattisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;Matemaattisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;100.0;Matemaattisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;matemaattiset tieteet
1.2.246.562.20.00000000000000056426;Matematiikan, fysiikan ja kemian opettajan kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Matematiikan, fysiikan ja kemian opettajan kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;Matematiikan, fysiikan ja kemian opettajan kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;100.0;Matematiikan, fysiikan ja kemian opettajan kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;opettajankoulutukset
1.2.246.562.20.00000000000000056427;Tietojenkäsittelytieteen kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Tietojenkäsittelytieteen kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;Tietojenkäsittelytieteen kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;100.0;Tietojenkäsittelytieteen kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Helsingin yliopisto;tietojenkäsittelytieteet
1.2.246.562.20.00000000000000062830;Aineenopettaja ja luokanopettaja, matematiikka, fysiikka tai kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A;Aineenopettaja ja luokanopettaja, matematiikka, fysiikka tai kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;Aineenopettaja ja luokanopettaja, matematiikka, fysiikka tai kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;100.0;Aineenopettaja ja luokanopettaja, matematiikka, fysiikka tai kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;opettajankoulutukset
1.2.246.562.20.00000000000000062832;Aineenopettaja, matematiikka, fysiikka, kemia tai tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A;Aineenopettaja, matematiikka, fysiikka, kemia tai tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;Aineenopettaja, matematiikka, fysiikka, kemia tai tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;100.0;Aineenopettaja, matematiikka, fysiikka, kemia tai tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;opettajankoulutukset
1.2.246.562.20.00000000000000062537;Fotoniikka, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Itä-Suomen yliopisto;Luonnontieteiden;A;Fotoniikka, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta | Itä-Suomen yliopisto;Fotoniikka, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Itä-Suomen yliopisto;93.67088607594937;Fotoniikka, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Itä-Suomen yliopisto;tekniikka
1.2.246.562.20.00000000000000062819;Kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A;Kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;Kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;100.0;Kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;kemia
1.2.246.562.20.00000000000000062543;Kestävät teknologiat, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Itä-Suomen yliopisto;Luonnontieteiden;A;Kestävät teknologiat, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta | Itä-Suomen yliopisto;Kestävät teknologiat, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Itä-Suomen yliopisto;94.16342412451361;Kestävät teknologiat, Joensuu, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Itä-Suomen yliopisto;tekniikka
1.2.246.562.20.00000000000000062824;Matematiikka, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A;Matematiikka, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;Matematiikka, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;100.0;Matematiikka, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;matemaattiset tieteet
1.2.246.562.20.00000000000000062808;Tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A;Tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;Tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;100.0;Tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;tietojenkäsittelytieteet
1.2.246.562.20.00000000000000062546;Teknillinen fysiikka, Kuopio, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Itä-Suomen yliopisto;Luonnontieteiden;A;Teknillinen fysiikka, Kuopio, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta | Itä-Suomen yliopisto;Teknillinen fysiikka, Kuopio, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Itä-Suomen yliopisto;94.11764705882352;Teknillinen fysiikka, Kuopio, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Itä-Suomen yliopisto;tekniikka
1.2.246.562.20.00000000000000062814;Tietojenkäsittelytiede, Kuopio, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A;Tietojenkäsittelytiede, Kuopio, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;Tietojenkäsittelytiede, Kuopio, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;100.0;Tietojenkäsittelytiede, Kuopio, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Itä-Suomen yliopisto;tietojenkäsittelytieteet
1.2.246.562.20.00000000000000064232;Teknologiajohtaminen, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Jyväskylän yliopisto;Informaatioteknologian tiedekunta;A;Teknologiajohtaminen, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta | Jyväskylän yliopisto;Teknologiajohtaminen, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Jyväskylän yliopisto;93.72384937238493;Teknologiajohtaminen, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Jyväskylän yliopisto;tekniikka
1.2.246.562.20.00000000000000064229;Tieto- ja ohjelmistotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;Jyväskylän yliopisto;Informaatioteknologian tiedekunta;A;Tieto- ja ohjelmistotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta | Jyväskylän yliopisto;Tieto- ja ohjelmistotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Jyväskylän yliopisto;94.16342412451361;Tieto- ja ohjelmistotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-valintayhteistyö | Jyväskylän yliopisto;tekniikka
1.2.246.562.20.00000000000000063992;Tietojenkäsittelytieteen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Jyväskylän yliopisto;Informaatioteknologian tiedekunta;A;Tietojenkäsittelytieteen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;Tietojenkäsittelytieteen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;100.0;Tietojenkäsittelytieteen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;tietojenkäsittelytieteet
1.2.246.562.20.00000000000000063585;Fysiikan aineenopettajan kandidaatti - ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 + 2 v);Jyväskylän yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Fysiikan aineenopettajan kandidaatti - ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 + 2 v) | Jyväskylän yliopisto;Fysiikan aineenopettajan kandidaatti - ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 + 2 v) | Jyväskylän yliopisto;100.0;Fysiikan aineenopettajan kandidaatti - ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 + 2 v) | Jyväskylän yliopisto;opettajankoulutukset
1.2.246.562.20.00000000000000063600;Fysiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Jyväskylän yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Fysiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;Fysiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;100.0;Fysiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;fysiikka
1.2.246.562.20.00000000000000063601;Kemian tai kemian aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Jyväskylän yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Kemian tai kemian aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;Kemian tai kemian aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;100.0;Kemian tai kemian aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;opettajankoulutukset
1.2.246.562.20.00000000000000063603;Matematiikan aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Jyväskylän yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Matematiikan aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;Matematiikan aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;100.0;Matematiikan aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;opettajankoulutukset
1.2.246.562.20.00000000000000063605;Matematiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Jyväskylän yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Matematiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;Matematiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;100.0;Matematiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;matemaattiset tieteet
1.2.246.562.20.00000000000000063609;Nanotieteen monialainen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Jyväskylän yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Nanotieteen monialainen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;Nanotieteen monialainen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;100.0;Nanotieteen monialainen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;nanotiede
1.2.246.562.20.00000000000000063611;Tilastotieteen ja datatieteen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Jyväskylän yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A;Tilastotieteen ja datatieteen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;Nanotieteen monialainen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;92.46575342465754;Nanotieteen monialainen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v) | Jyväskylän yliopisto;matemaattiset tieteet
1.2.246.562.20.00000000000000058971;Energiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Lappeenrannan-Lahden teknillinen yliopisto LUT;LUT-yliopisto;A;Energiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Lappeenrannan-Lahden teknillinen yliopisto LUT;Energiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Lappeenrannan-Lahden teknillinen yliopisto LUT;94.73684210526316;Energiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Lappeenrannan-Lahden teknillinen yliopisto LUT;tekniikka
